Date,Price,LTH Supply,Log Price,Log Supply,Normalized Ratio
2015-07-24,289.305976329632,10898670,2.4613574051660367,1.0373735028118705,0.8996352018187666
2015-07-25,289.507639976622,10923870,2.461660029051048,1.0383765231576823,0.9003355982795671
2015-07-26,293.314842781999,10923350,2.4673340403934967,1.0383558493025524,0.8946409130819886
2015-07-27,294.426761835184,10923610,2.4689772825306697,1.0383661863531353,0.8930080079953984
2015-07-28,295.410125268849,10923300,2.4704253768020235,1.0383538613800019,0.8915475887509112
2015-07-29,289.85583635301,10922620,2.4621820494726623,1.0383268247298825,0.899763879430153
2015-07-30,288.236260666277,10944990,2.4597486149813736,1.0392153691066182,0.9030858582981773
2015-07-31,284.597324371712,10944710,2.4542308127684223,1.0392042586341184,0.9085925500386289
2015-08-01,281.66884628872,10948190,2.4497388149193835,1.0393423257526593,0.9132226150062086
2015-08-02,282.423006428989,10957960,2.4509000718351,1.0397297107901509,0.9124487431279837
2015-08-03,282.185052308591,10956350,2.4505340049114905,1.0396658973169344,0.9127509965783767
2015-08-04,285.286617475161,10955710,2.455281399792351,1.0396405278657284,0.9079782322463101
2015-08-05,282.338886908241,10992560,2.450770698219839,1.0410988447805134,0.913947250733607
2015-08-06,278.99574868498,10997870,2.445597585579257,1.041308581811006,0.9193301004046819
2015-08-07,279.488715078901,11008160,2.4463642770599945,1.0417147332653565,0.9189695603782948
2015-08-08,261.450275569842,11024510,2.4173891039143784,1.0423592957339571,0.9485892959925115
2015-08-09,266.342020455874,10919000,2.4254396899554878,1.0381828659906602,0.9363622802081053
2015-08-10,264.928825248393,11007640,2.423129213734204,1.041694217714649,0.9421841081533779
2015-08-11,271.421736119229,11079280,2.4336446240851215,1.0445115381733605,0.9344860182611718
2015-08-12,268.143868497954,11128210,2.428367870633603,1.0464253126148906,0.9416765461542203
2015-08-13,264.691627995324,11151460,2.422740205098351,1.0473317309208703,0.9482106299954522
2015-08-14,266.355941554646,11304310,2.4254623889587172,1.0532440587346428,0.9514007739488584
2015-08-15,261.936836645237,11304690,2.418196578328994,1.0532586575141676,0.9586811833581064
2015-08-16,258.930817389831,11312800,2.4131837423076483,1.0535701092622782,0.9640054711275627
2015-08-17,258.009398305085,11312280,2.411635525954306,1.0535501461831969,0.9655337244018238
2015-08-18,217.885883116937,11316840,2.3382290931052623,1.0537251757790702,1.0391151868467408
2015-08-19,227.218251899474,11323500,2.356443214278642,1.0539806844271653,1.0211565743214561
