Date,Price,STH Supply,Log Price,Log Supply,Normalized Ratio,STH Supply Percentage
2020-03-07,8898.30695675044,4552604,3.9493073831296637,0.6582598756333978,-0.5874,24.93%
2020-03-08,8109.61454114553,4556760,3.909000212209695,0.6586561553280114,-0.5466,24.95%
2020-03-09,7896.38531987142,4574630,3.897428332444123,0.6603559737125306,-0.5334,25.05%
2020-03-10,7909.92787545295,4579521,3.8981725235184603,0.6608200548737685,-0.5337,25.07%
2020-03-11,7939.34133477499,4590379,3.8997844738958394,0.661848544102302,-0.5342,25.13%
2020-03-12,4959.31341437756,4660054,3.6954215553234997,0.6683909492578421,-0.3233,25.51%
2020-03-13,5627.69238836938,4705657,3.7503303507234707,0.6726202678386869,-0.3740,25.76%
2020-03-14,5145.17250642899,4723844,3.711399940290728,0.6742955470579357,-0.3334,25.85%
2020-03-15,5358.61066335476,4733426,3.7290522039741796,0.6751755919650949,-0.3502,25.90%
2020-03-16,5012.92738778492,4756724,3.7000914139063474,0.6773079530271295,-0.3191,26.03%
2020-03-17,5416.7547106955,4786611,3.7337391696829476,0.6800281345180808,-0.3500,26.19%
2020-03-18,5392.48783594389,4781042,3.731789174119802,0.6795225588574965,-0.3486,26.16%
2020-03-19,6203.5516320865,4788712,3.792640401206775,0.6802187187356831,-0.4087,26.20%
2020-03-20,6174.14947603741,4793046,3.790577139534221,0.6806115970390032,-0.4063,26.22%
2020-03-21,6175.83102220924,4786450,3.790695404697167,0.6800135265652865,-0.4070,26.18%
2020-03-22,5830.56097960257,4789848,3.7657103418302316,0.6803217318261174,-0.3817,26.20%
2020-03-23,6486.40865733489,4805117,3.812004306661142,0.6817039667882812,-0.4266,26.28%
2020-03-24,6775.05761893629,4797003,3.8309129930489787,0.6809699900696158,-0.4462,26.23%
2020-03-25,6689.96901285798,4816683,3.825424106172015,0.6827480650644981,-0.4390,26.34%
2020-03-26,6754.46033606078,4826964,3.8295906557365043,0.6836740598173142,-0.4422,26.39%
2020-03-27,6490.79541502046,4804803,3.8122979207120937,0.6816755860177095,-0.4269,26.27%
2020-03-28,6231.81989023963,4803588,3.794614893026927,0.681565751228862,-0.4094,26.26%
2020-03-29,5904.85758679135,4808101,3.7712094277723107,0.6819735819734608,-0.3855,26.28%
2020-03-30,6436.90570017534,4813057,3.8086771468183467,0.682421004964058,-0.4226,26.31%
2020-03-31,6432.3832421391,4791400,3.8083719118268204,0.6804624285374037,-0.4242,26.19%
2020-04-01,6643.11000870836,4787279,3.8223714443397006,0.6800887386642288,-0.4386,26.16%
2020-04-02,6792.74222209234,4790596,3.832045133853637,0.6803895475292567,-0.4480,26.18%
2020-04-03,6751.90255178258,4789729,3.8294261656187096,0.6803109419878293,-0.4454,26.17%
2020-04-04,6859.98916867329,4751847,3.83632342999405,0.6768624487817543,-0.4558,25.96%
2020-04-05,6790.81247264758,4752449,3.83192173764995,0.6769174650140888,-0.4513,25.96%
2020-04-06,7298.17374517826,4760153,3.863214198254991,0.6776209119616392,-0.4819,26.00%
2020-04-07,7187.59333664524,4775607,3.8565834973953277,0.6790285801074928,-0.4739,26.08%
2020-04-08,7372.19476399766,4752735,3.867596800205763,0.6769435998520597,-0.4870,25.95%
2020-04-09,7299.57918790181,4748870,3.863297824279373,0.6765902809622224,-0.4830,25.93%
2020-04-10,6859.82267475161,4749079,3.836312889413423,0.6766093940458433,-0.4560,25.93%
2020-04-11,6883.18222895967,4744264,3.8377892674447702,0.6761688478421135,-0.4579,25.90%
2020-04-12,6978.66628661601,4745491,3.8437724312609527,0.6762811540781047,-0.4638,25.90%
2020-04-13,6863.57553319696,4748856,3.836550417426545,0.6765890006299098,-0.4563,25.92%
2020-04-14,6875.53850344828,4748452,3.8373067184902756,0.6765520522713234,-0.4571,25.91%
2020-04-15,6625.47577510228,4744427,3.8212170703948756,0.676183768762303,-0.4413,25.89%
2020-04-16,7127.79228223261,4734093,3.8529550350250843,0.6752367852766497,-0.4740,25.83%
2020-04-17,7081.39519842197,4731945,3.8501188321645,0.6750396881250981,-0.4714,25.81%
2020-04-18,7262.79234360023,4718813,3.8611036270723407,0.6738327671973093,-0.4836,25.74%
2020-04-19,7150.2442154588,4720877,3.854320875313651,0.6740226852613417,-0.4766,25.75%
2020-04-20,6853.27341478667,4725570,3.835898058559616,0.6744542007657955,-0.4577,25.77%
2020-04-21,6870.42369865576,4711855,3.836983520802509,0.6731919172483132,-0.4601,25.69%
2020-04-22,7123.65691992987,4697674,3.8527029953828444,0.6718828751675272,-0.4771,25.61%
2020-04-23,7488.60516528346,4690551,3.874400933129024,0.6712238623747608,-0.4995,25.57%
2020-04-24,7506.44331648159,4666121,3.8754342094530765,0.6689559965560957,-0.5028,25.44%
2020-04-25,7537.73820911748,4643892,3.877241050026559,0.6668821110774219,-0.5067,25.31%
2020-04-26,7684.06852168322,4629664,3.8855912289715704,0.6655494730393345,-0.5163,25.23%
2020-04-27,7777.49151858562,4574445,3.890839546179523,0.6603384103022049,-0.5268,24.93%
2020-04-28,7769.89969842197,4569509,3.8904154125328287,0.6598695370399611,-0.5269,24.90%
2020-04-29,8761.83716954997,4589446,3.942595177965299,0.6617602642597099,-0.5771,25.01%
2020-04-30,8652.4109912332,4583382,3.937137140330789,0.6611860548399082,-0.5723,24.97%
2020-05-01,8855.53525827002,4581736,3.9472148165354213,0.6610300614910177,-0.5825,24.96%
2020-05-02,8977.28170537697,4567842,3.9531448534747637,0.6597110734087916,-0.5897,24.88%
2020-05-03,8896.7956383986,4566516,3.9492336148309226,0.6595849836525003,-0.5860,24.87%
2020-05-04,8881.95430450029,4567856,3.948508534503676,0.6597124044779111,-0.5851,24.88%
2020-05-05,8985.8795993571,4569055,3.9535605952401873,0.6598263859070377,-0.5900,24.88%
2020-05-06,9266.8130730567,4588362,3.9669304026716183,0.6616576743557651,-0.6016,24.98%
2020-05-07,9993.75317685564,4629817,3.99972861914566,0.6655638252596668,-0.6305,25.21%
2020-05-08,9859.32360461718,4642376,3.9938471213450057,0.6667403123612068,-0.6234,25.27%
2020-05-09,9577.33892238457,4650745,3.981244856483065,0.6675225278303936,-0.6100,25.32%
2020-05-10,8715.03329322034,4658774,3.94026905054346,0.668271643066048,-0.5683,25.36%
2020-05-11,8591.65288433665,4680010,3.934076722561439,0.6702467810527948,-0.5601,25.47%
2020-05-12,8817.25068112215,4678698,3.945333188289205,0.6701250133122071,-0.5715,25.46%
2020-05-13,9322.99720204559,4659615,3.9695555538833616,0.6683500346550388,-0.5975,25.36%
2020-05-14,9801.26948772647,4659866,3.9912823303667713,0.6683734282141832,-0.6192,25.36%
2020-05-15,9326.87585891292,4666874,3.9697361963245683,0.669026075613372,-0.5970,25.39%
2020-05-16,9395.4753893045,4666197,3.972918759287895,0.6689630701214468,-0.6003,25.39%
2020-05-17,9682.5324811806,4666826,3.985988962551881,0.6690216087598989,-0.6133,25.39%
2020-05-18,9726.85002209235,4669869,3.9879722195580305,0.6693046978305442,-0.6150,25.41%
2020-05-19,9754.20146201052,4668327,3.989191721210021,0.6691612692502956,-0.6163,25.40%
2020-05-20,9515.702550263,4670851,3.9784408580396273,0.6693960135284348,-0.6054,25.41%
2020-05-21,9068.80122933957,4672879,3.9575498831030127,0.669584535504804,-0.5843,25.42%
2020-05-22,9161.81503389831,4668376,3.961981519641748,0.6691658276965937,-0.5891,25.39%
2020-05-23,9183.66212507305,4654179,3.9630158972756306,0.667843082263415,-0.5915,25.32%
2020-05-24,8806.23065715956,4653991,3.9447900565288787,0.6678255391023836,-0.5733,25.31%
2020-05-25,8909.19258153127,4650019,3.949838346766988,0.6674547274229213,-0.5787,25.29%
2020-05-26,8835.13725336061,4646878,3.9462133006355535,0.6671612705803724,-0.5754,25.27%
2020-05-27,9169.05743921683,4643865,3.962324693359618,0.6668795860434419,-0.5918,25.26%
2020-05-28,9568.26185300994,4648637,3.98083305207088,0.6673256345780177,-0.6098,25.28%
2020-05-29,9432.41333343074,4655755,3.9746228235220435,0.667990118345522,-0.6029,25.32%
2020-05-30,9691.68049117475,4656739,3.986399088172135,0.6680818973623532,-0.6146,25.32%
2020-05-31,9433.94384663939,4660541,3.9746932868802967,0.6684363329297814,-0.6026,25.34%
2020-06-01,10199.1350542373,4717846,4.008563342634495,0.6737437605339403,-0.6311,25.65%
2020-06-02,9512.34653302163,4724741,3.9782876631663293,0.6743780064212028,-0.6002,25.69%
2020-06-03,9642.27340035067,4726467,3.984179441457327,0.6745366300138903,-0.6059,25.70%
2020-06-04,9813.36067913501,4735566,3.9918177611476557,0.6753718937904839,-0.6128,25.74%
