Date,BTC Price,Bubble Index,Google Trends,Difficulty,Transactions,Sent By Address,Tweets
2011-03-03,0.926,-28.86496381,0.368,55590,3018,3930,0
2011-03-04,0.906,-28.51905235,0.136,55590,1761,2508,0
2011-03-05,0.91,-28.54737373,0.136,55590,1771,2622,0
2011-03-06,0.905,-28.51833273,0.218,55590,1757,2565,0
2011-03-07,0.878,-28.5542729,0.177,55590,1715,2531,0
2011-03-08,0.878,-28.79886291,0.191,55590,2253,3255,0
2011-03-09,0.858,-28.58782975,0.355,62672,1674,2661,0
2011-03-10,0.899,-28.43688898,0.259,76193,1551,2352,0
2011-03-11,0.885,-28.54807921,0.177,76193,1754,2406,0
2011-03-12,0.899,-28.76104144,0.232,76193,2816,2556,0
2011-03-13,0.896,-28.66042913,0.355,76193,2594,2329,0
2011-03-14,0.894,-28.61376392,0.191,76193,2531,2006,0
2011-03-15,0.882,-28.83942965,0.15,76193,2742,2686,0
2011-03-16,0.863,-28.88100586,0.232,76193,3047,2408,0
2011-03-17,0.835,-28.94312328,0.355,76193,3226,2617,0
2011-03-18,0.833,-28.77910466,0.191,76193,2251,2418,0
2011-03-19,0.771,-28.9805414,0.218,76193,3074,2620,0
2011-03-20,0.753,-29.16726301,0.218,76193,3939,3896,0
2011-03-21,0.76,-29.21345216,0.532,76193,5707,3632,0
2011-03-22,0.784,-28.92484132,0.382,76193,2119,3013,0
2011-03-23,0.83,-29.05629466,1.364,76193,4413,5127,0
2011-03-24,0.849,-28.83835543,0.573,76193,2012,3194,0
2011-03-25,0.875,-28.75987052,0.491,69603,1826,3078,0
2011-03-26,0.869,-29.05167652,0.355,68978,3197,3834,0
2011-03-27,0.825,-28.99176495,0.464,68978,2320,3825,0
2011-03-28,0.809,-29.07280666,0.423,68978,2763,3920,0
2011-03-29,0.796,-29.07571499,0.355,68978,2555,3709,0
2011-03-30,0.791,-28.86200381,0.177,68978,1600,2832,0
2011-03-31,0.787,-29.02683626,0.123,68978,1894,3324,0
2011-04-01,0.775,-28.79066853,0.242,68978,1403,2483,0
2011-04-02,0.778,-28.9433338,0.328,68978,1592,2705,0
2011-04-03,0.78,-29.04244478,0.162,68978,1630,2791,0
2011-04-04,0.729,-29.2430731,0.403,68978,2131,3469,0
2011-04-05,0.7,-29.24349198,0.464,69942,1925,3241,0
2011-04-06,0.744,-29.15722115,0.416,82346,1716,2932,0
2011-04-07,0.751,-29.06074655,0.384,82346,1530,2592,0
2011-04-08,0.752,-29.11153541,0.323,82346,1601,2737,0
2011-04-09,0.74,-29.08666483,0.558,82346,1577,2761,0
2011-04-10,0.743,-29.17272916,0.183,82346,1571,2684,0
2011-04-11,0.753,-29.23784448,0.295,82346,1780,2977,0
2011-04-12,0.819,-29.16848916,0.41,82346,1914,3149,0
2011-04-13,0.891,-29.1732346,0.355,82346,2177,3437,0
2011-04-14,0.97,-29.32123104,0.316,82346,2721,5011,0
2011-04-15,0.995,-28.93077341,0.309,82346,1882,3033,0
2011-04-16,1.017,-28.8550314,0.751,82346,1981,3144,0
2011-04-17,1.08,-28.87425091,0.592,82346,2077,3412,0
2011-04-18,1.15,-29.05295449,0.497,89442,2887,4281,0
2011-04-19,1.18,-29.12288574,0.497,92348,3444,4978,0
2011-04-20,1.162,-28.97219835,0.451,92348,2825,4077,0
2011-04-21,1.176,-28.61770579,0.382,92348,1768,3098,0
2011-04-22,1.31,-28.48814882,0.396,92348,1921,3211,0
2011-04-23,1.546,-28.37979204,0.363,92348,2138,3610,0
2011-04-24,1.716,-28.13829779,0.445,92348,2111,3418,0
2011-04-25,1.595,-28.44570736,0.597,92348,2400,3939,0
