Date,bmo Index
2012-06-22,-0.792409926655692
2012-06-23,-0.8057399254664854
2012-06-24,-0.8232573234368047
2012-06-25,-0.8299362327113889
2012-06-26,-0.8094058914954758
2012-06-27,-0.7763689048163886
2012-06-28,-0.7753702786856771
2012-06-29,-0.7641291332449724
2012-06-30,-0.7509398938793048
2012-07-01,-0.7496334680593327
2012-07-02,-0.7209201053857557
2012-07-03,-0.7621546142455938
2012-07-04,-0.7453165424022075
2012-07-05,-0.7124213609334302
2012-07-06,-0.7109081698344819
2012-07-07,-0.6835238059859955
2012-07-08,-0.6760633091379765
2012-07-09,-0.652672564331774
2012-07-10,-0.6068736973699386
2012-07-11,-0.6077972733158868
2012-07-12,-0.5364047366441748
2012-07-13,-0.5359009220020735
2012-07-14,-0.5385526422119601
