Date,VOCD,Reserve Risk Index,HODL Bank,MVOCD
2017-11-30,9758.72735771,0.01826901,547195.36737253,9611.24377772
2017-12-01,11737.00591761,0.01971024,548393.08192736,9611.24377772
2017-12-02,10130.73425798,0.01989629,549593.01389225,9734.92802080
2017-12-03,9050.74842681,0.02034932,551072.02852692,9734.92802080
2017-12-04,10784.03725267,0.02091976,552689.42628599,9944.73080785
2017-12-05,10793.07214151,0.02116708,554481.44954535,9944.73080785
2017-12-06,18325.98478144,0.02507478,558016.19612726,10457.38575532
2017-12-07,89094.65208739,0.03018519,564259.93480656,10788.55469709
2017-12-08,33408.10518694,0.02861482,569582.02790494,10976.39424031
2017-12-09,14499.40823828,0.02625689,573183.68873071,11448.36112835
2017-12-10,17974.61257511,0.02682373,576914.61153042,11744.07674353
2017-12-11,16068.61122058,0.02899007,582044.03257181,11744.07674353
2017-12-12,44086.95673767,0.02966297,587733.88656644,11744.07674353
2017-12-13,21300.78001672,0.02787344,592504.96239509,11744.07674353
2017-12-14,17235.67644220,0.02781797,596840.60258455,12267.25261387
2017-12-15,21323.51579740,0.02944324,601224.70486737,13317.89988929
2017-12-16,13043.99215451,0.03230605,607951.54384438,12913.67490640
2017-12-17,48368.00153253,0.03136513,613753.79435776,13448.21713740
2017-12-18,18316.69481299,0.03068745,618559.89420272,14175.92517929
2017-12-19,15316.86690783,0.02840195,621553.24917163,14659.97112052
2017-12-20,47392.01621800,0.02639562,623346.90531149,14659.97112052
2017-12-21,12503.40519591,0.02504135,624320.76784147,14659.97112052
2017-12-22,25423.30644298,0.02293979,623620.35681565,15006.12936947
2017-12-23,14699.44996320,0.02391381,623525.08555109,15006.12936947
2017-12-24,11369.04295848,0.02253064,622545.30304778,15006.12936947
2017-12-25,9030.37694366,0.02265201,621620.11593840,15006.12936947
2017-12-26,15168.50536513,0.02527801,622167.14636698,15180.11505066
2017-12-27,17532.51277934,0.02472916,622301.85111891,15254.29582201
2017-12-28,9153.53346429,0.02299748,621348.61719195,15242.68613648
2017-12-29,14725.48008691,0.02347716,620677.67713758,15242.68613648
2017-12-30,20983.17659949,0.02095486,617933.65395620,15692.73906420
2017-12-31,20866.90775056,0.02262908,615202.99076625,16652.14383139
2018-01-01,7860.00550043,0.02200051,612015.50054649,16652.14383139
2018-01-02,20545.85850758,0.02421179,609385.72814057,17384.09461077
2018-01-03,10778.96401151,0.02472816,607011.91968936,17384.09461077
2018-01-04,12963.07369265,0.02492202,604698.12587724,17384.09461077
2018-01-05,25937.51029577,0.02812661,604311.25867442,17384.09461077
2018-01-06,15201.31932084,0.02828149,604762.70412269,16652.14383139
2018-01-07,86507.03704398,0.02685845,604342.25529072,16652.14383139
2018-01-08,7621.54018381,0.02478714,602627.52654875,16652.14383139
2018-01-09,10664.53978917,0.02391197,601313.37370196,15692.73906420
2018-01-10,9814.14328618,0.02441904,600723.36885326,15259.09311434
2018-01-11,15508.35663720,0.02202745,598651.03068165,15259.09311434
2018-01-12,17162.47685005,0.02309088,597181.38123125,15259.09311434
2018-01-13,8573.86739413,0.02386878,596227.69395284,15184.91234299
2018-01-14,8910.41753880,0.02299486,594961.76668795,14946.99272602
2018-01-15,6073.97868925,0.02289681,593606.47015860,14946.99272602
