Date,rhodl Index
2011-02-18,601.0928389082796
2011-02-19,561.5602159337648
2011-02-20,615.8765828420571
2011-02-21,497.69100918732937
2011-02-22,480.46328963190956
2011-02-23,481.31674912129955
2011-02-24,536.9496650349133
2011-02-25,533.0929426171739
2011-02-26,596.2236130085449
2011-02-27,658.772495635517
2011-02-28,714.8009752592277
2011-03-01,1737.5504130984446
2011-03-02,1744.6243525851223
2011-03-03,1701.3925862270792
2011-03-04,1708.6210302104437
2011-03-05,1725.3465815153331
2011-03-06,1681.1686088960366
2011-03-07,1613.178418812724
2011-03-08,1099.4442747135058
2011-03-09,648.012755449842
2011-03-10,647.5190332874911
2011-03-11,612.9983205126703
2011-03-12,649.0801469863545
2011-03-13,613.8464833986643
2011-03-14,776.7346713123935
2011-03-15,805.322306476259
